0.00201, 0.20960
0.00270, 0.88593
0.00408, 1.69728
0.00547, 3.14016
0.00547, 2.37331
0.00685, 4.49282
0.00685, 3.68086
0.00962, 5.84488
0.00962, 5.16825
0.01100, 7.10732
0.01100, 6.65623
0.01377, 7.57976
0.01584, 8.05250
0.01723, 7.69103
0.01930, 8.45697
0.02483, 8.72522
0.03037, 8.72281
0.03844, 8.64412
0.04420, 8.49125
0.04766, 8.44464
0.05527, 8.21579
0.06357, 7.91897
0.07187, 7.48683
0.07740, 7.25888
0.08432, 6.98522
0.08985, 6.80238
0.10092, 6.70736
0.10922, 6.38799
0.11752, 6.13628
0.12443, 5.88517
0.13204, 5.64129
0.14495, 5.27480
0.14864, 5.15291
0.15487, 4.87955
0.16040, 4.69671
0.16593, 4.60409
0.17423, 4.23961
0.18807, 3.78251
0.19637, 3.59846
0.20467, 3.32420
0.21435, 2.95912
0.22818, 2.70501
0.23648, 2.58863
0.24893, 2.24490
0.26138, 2.08161
0.27245, 1.78359
0.28767, 1.57399
0.29873, 1.38874
0.30980, 1.20349
0.32087, 1.10846
0.33263, 0.89284
0.35130, 0.73436
0.36652, 0.63753
0.38312, 0.54009
0.39557, 0.44446
0.41078, 0.25741
0.42600, 0.07036
0.43983, 0.10946
0.45505, -0.03249
0.47303, -0.06286
0.48548, -0.13593
0.49655, -0.14075
0.51315, -0.14796
0.52698, -0.24420
